,level_0,index,date,headline,link,summary,compounds_head,compounds_summ,compounds_head_summ,Sentiment,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Doc_length,Modal_freq,Negative_freq,Positive_freq,Uncertainty_freq,Litigious_freq,Constraining_freq,Superfluous_freq,Interesting_freq,Negative_score,Positive_score
0,1,1,1993-01-22 01:00:00,BUSINESS DIGEST,https://www.nytimes.com/1993/01/22/business/business-digest-924593.html,"Companies British Airways invested $300 million for a 20 percent stake in USAir. The deal came a month after the two companies had withdrawn a plan for combined operations amid objections from U.S. carriers and the Transportation Department. [ Page D1. ] A high-profile and flourishing Florida brokerage firm appears to be having a problem with information on its stock picks' being leaked to select investors in advance of wide release. [ D1. ] I.B.M. is said to be withdrawing support of a renown computer designer who hopes to build the world's fastest supercomputer. The move would be more evidence of financial woes. [ D1. ] Wang's chairman stepped down after an unsuccessful three-year effort to resuscitate the computer company. He said Wang needed to emerge from bankruptcy with less costly management. [ D1. ] Nynex, Bell Atlantic and U S West reported higher fourth-quarter earnings. But charges for work-force reductions and accounting changes made year-to-year comparisons difficult. [ D2. ] McDonnell Douglas earnings fell 61.9 percent in 1992 because of losses from its C-17 cargo plane and continued commercial aircraft declines. Fourth-quarter earnings declined 59.2 percent. [ D4. ] Pfizer reported strong profit and sales gains, staking a claim as the world's fastest growing large drug company. [ D4. ] Dell will sell low-priced computers directly to Japanese customers, heating up a personal-computer price war. [ D4. ] May Department Stores will move its New York merchandising office to its headquarters in St. Louis. [ D4. ] The Economy The Sematech chip-making consortium accomplished its goal of using American-made equipment to produce a chip with ultra-thin circuitry. It met the goal on time and on budget. [ D4. ] Zoe Baird withdrew her name as President Clinton's nominee to be Attorney General. [ A1. ] The Senate confirmed Ronald H. Brown as Commerce Secretary, Robert B. Reich as Labor Secretary and Leon E. Panetta as director of the Office of Management and Budget. [ A13. ] The economy except in California continues to improve, with gains in retailing, construction and factories, the Federal Reserve said. But job growth continues to lag. [ A16. ] International Japanese companies are losing their grip on the computer memory chip market. High costs and sharp competition have caused many to curb production of widely used D-RAM's, their mainstay product since the 1980's. [ D1. ] Germany will cut benefits for the poor, lower tax breaks for the rich and put a surcharge on corporate and income taxes to finance rebuilding of the formerly communist east. [ A3. ] Markets Stocks rose as bonds rallied. The Dow gained 11.07, to 3,253.02, and Nasdaq stocks continued their hot streak. [ D6. ] Shares sold short and not yet covered on the New York Stock Exchange fell almost 8 percent, reversing a 10-month trend. [ D16. ] Treasury prices inched higher, with the 30-year bond gaining back what it lost Wednesday. Its yield fell to 7.30 percent. [ D14. ] Livestock prices fell sharply on forecasts for good weather and oil prices rebounded in New York. [ D13. ] The dollar settled higher. Gold prices fell in the U.S. but advanced overseas. [ D13. ] Today's Columns Pepsi's new ads scheduled for the Super Bowl return to themes emphasizing youth, moving away from an appeal to older consumers begun only a year ago. Stuart Elliott: Advertising. [ D2. ] Education Alternatives has attracted attention on Wall Street with its soaring revenues and stock price. But the school management company insists that its business is improving education, not enriching investors. Kurt Eichenwald: Market Place. [ D6. ]",0.0,0.9643,0.9643,"            Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0     OBJECTIONS      0         1         0            0          0   
1        APPEARS      3         0         0            1          0   
2        PROBLEM      0         1         0            0          0   
3          WOULD      2         0         0            0          0   
4   UNSUCCESSFUL      0         1         0            0          0   
5     BANKRUPTCY      0         1         0            0          0   
6         COSTLY      0         1         0            0          0   
7          FORCE      0         1         0            0          0   
8     REDUCTIONS      0         0         0            0          0   
9      DIFFICULT      0         1         0            0          0   
10        LOSSES      0         1         0            0          0   
11      DECLINES      0         1         0            0          0   
12      DECLINED      0         1         0            0          0   
13        STRONG      0         0         1            0          0   
14         GAINS      0         0         1            0          0   
15         GAINS      0         0         1            0          0   
16         CLAIM      0         0         0            0          1   
17          WILL      1         0         0            0          0   
18          WILL      1         0         0            0          0   
19          WILL      1         0         0            0          0   
20           MAY      3         0         0            1          0   
21  ACCOMPLISHED      0         0         1            0          0   
22      ATTORNEY      0         0         0            0          1   
23       IMPROVE      0         0         1            0          0   
24           LAG      0         1         0            0          0   
25        LOSING      0         1         0            0          0   
26           CUT      0         1         0            0          0   
27          POOR      0         1         0            0          0   
28        BREAKS      0         1         0            0          0   
29        GAINED      0         0         1            0          0   
30        ALMOST      3         0         0            1          0   
31       GAINING      0         0         1            0          0   
32          LOST      0         1         0            0          0   
33       SHARPLY      0         1         0            0          0   
34          GOOD      0         0         1            0          0   
35     REBOUNDED      0         0         1            0          0   
36        APPEAL      0         0         0            0          1   
37       INSISTS      0         0         0            0          0   
38     IMPROVING      0         0         1            0          0   

    Constraining  Superfluous  Interesting  
0              0            0            0  
1              0            0            0  
2              0            0            0  
3              0            0            0  
4              0            0            0  
5              0            0            0  
6              0            0            0  
7              0            0            0  
8              0            0            1  
9              0            0            0  
10             0            0            0  
11             0            0            0  
12             0            0            0  
13             0            0            0  
14             0            0            0  
15             0            0            0  
16             0            0            0  
17             0            0            0  
18             0            0            0  
19             0            0            0  
20             0            0            0  
21             0            0            0  
22             0            0            0  
23             0            0            0  
24             0            0            0  
25             0            0            0  
26             0            0            0  
27             0            0            0  
28             0            0            0  
29             0            0            0  
30             0            0            0  
31             0            0            0  
32             0            0            0  
33             0            0            0  
34             0            0            0  
35             0            0            0  
36             0            0            0  
37             1            0            0  
38             0            0            0  ",14.0,17.0,10.0,3.0,3.0,1.0,0.0,1.0,626,0.022364217252396165,0.027156549520766772,0.01597444089456869,0.004792332268370607,0.004792332268370607,0.001597444089456869,0.0,0.001597444089456869,0.011182108626198083,-0.011182108626198083
1,2,2,1993-01-22 02:00:00,Bell Atlantic Corp. reports earnings for Qtr to Dec 31,https://www.nytimes.com/1993/01/22/business/bell-atlantic-corp-reports-earnings-for-qtr-to-dec-31.html,0,0.0,0.0,0.0,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,5,1993-01-28 01:00:00,'Baby Bells' Protest A.T.& T.-McCaw Deal,https://www.nytimes.com/1993/01/28/business/company-news-baby-bells-protest-at-t-mccaw-deal.html,"Rebelling against their former parent, three of the seven ""Baby Bell"" telephone companies charged today that A.T.& T.'s proposed alliance with the nation's biggest cellular telephone company would stifle competition. In a petition filed with the Federal Communications Commission, the Nynex Corporation, the Southwestern Bell Corporation and the Bell Atlantic Corporation said the American Telephone and Telegraph Company's $3.8 billion bid to buy one-third of McCaw Cellular CommunicationsInc. would put A.T.& T. back in the local telephone business and raise fundamental concerns about competition.",-0.25,-0.4404,-0.5994,"       Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0   AGAINST      0         1         0            0          0             0   
1  ALLIANCE      0         0         1            0          0             0   
2     WOULD      2         0         0            0          0             0   
3     WOULD      2         0         0            0          0             0   
4  PETITION      0         0         0            0          1             0   
5  CONCERNS      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  
2            0            0  
3            0            0  
4            0            0  
5            0            0  ",4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,91,0.04395604395604396,0.02197802197802198,0.01098901098901099,0.0,0.01098901098901099,0.0,0.0,0.0,0.01098901098901099,-0.01098901098901099
3,6,6,1993-02-04 01:00:00,It's a Bank. It's a Brain. It's Superphone.,https://www.nytimes.com/1993/02/04/technology/it-s-a-bank-it-s-a-brain-it-s-superphone.html,"PROGRESS lurches on. In the last few years, the nation's telephone companies, especially local carriers, have begun offering a bewildering array of new phone services. Companies like Bell Atlantic and Nynex have been aggressively selling services like ""three-way calling"" and ""speed calling,"" often with free installation. Most of these services go begging. Some services are just poorly marketed. Others are not widely available, so they get little favorable word-of-mouth. But, for the most part, the services are difficult to use, discouraging even interested consumers.",0.0,0.8638,0.8638,"           Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0      PROGRESS      0         0         1            0          0   
1  AGGRESSIVELY      0         0         0            0          0   
2         OFTEN      2         0         0            0          0   
3        POORLY      0         1         0            0          0   
4     FAVORABLE      0         0         1            0          0   
5     DIFFICULT      0         1         0            0          0   
6  DISCOURAGING      0         1         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            1  
2             0            0            0  
3             0            0            0  
4             0            0            0  
5             0            0            0  
6             0            0            0  ",2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,88,0.022727272727272728,0.03409090909090909,0.022727272727272728,0.0,0.0,0.0,0.0,0.011363636363636364,0.011363636363636364,-0.011363636363636364
4,14,14,1993-03-03 01:00:00,BRIEFS,https://www.nytimes.com/1993/03/03/business/briefs-912193.html,"Debt * Baltimore Gas and Electric Co. is offering $125 million of 7 1/2 percent debentures due in 2023 at 99.126 to yield 7.573 percent through First Boston Corp. Callable in five years, the debentures are rated A-1 by Moody's Investors Service, A+ by Standard & Poor's and AA- by Duff & Phelps. * Bell Telephone Company of Pennsylvania, Philadelphia, a unit of Bell Atlantic Corp., is offering $225 million of 7 3/8 percent debentures due in 2033 at 99.047 to yield 7.45 percent through First Boston Corp. Callable in 10 years, the debentures are rated Aa-1 by Moody's, AA by S.& P., and AA+ by Duff & Phelps.",0.0,-0.3612,-0.3612,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16,16,1993-03-12 01:00:00,BELL ATLANTIC TO SELL PART OF NEW ZEALAND STAKE,https://www.nytimes.com/1993/03/12/business/company-news-bell-atlantic-to-sell-part-of-new-zealand-stake.html,"Bell Atlantic Holdings Ltd., a unit of the Bell Atlantic Corporation, said yesterday that it had agreed to sell 108.925 million shares, or 4.61 percent, of the Telecom Corporation of New Zealand to BZW New Zealand Ltd., an investment trust fund. After the transaction is settled next week, Bell Atlantic Holdings will hold 698.296 million shares, or 29.56 percent of the New Zealand company. Bell Atlantic and the Ameritech Corporation bought Telecom from the New Zealand Government in 1990. The two companies have agreed to reduce their combined ownership in the company to no more than 49.9 percent by September 1994. They sold 25 percent of Telecom to the public in July 1991.",0.0,0.8271,0.8271,"   Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  WILL      1         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17,17,1993-03-13 01:00:00,BELL ATLANTIC-NEW ZEALAND ACCORD,https://www.nytimes.com/1993/03/13/business/company-news-bell-atlantic-new-zealand-accord.html,"Bell Atlantic Holdings Ltd. has accepted an unsolicited offer from Barclays de Zoete Wedd New Zealand to sell a 4.6 percent stake in the Telecom Corporation of New Zealand Ltd. for $147 million. Bell Atlantic is a holding company for the majority shareholders in Telecom: Bell Atlantic and Ameritech, another United States phone company. They bought Telecom from the New Zealand Government in 1989. The companies later sold part of their holdings in a public stock offering, reducing their combined stake to 59.1 percent before yesterday's transaction.",0.0,0.5994,0.5994,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18,18,1993-03-21 01:00:00,One More Kudo for Bell Atlantic,https://www.nytimes.com/1993/03/21/business/l-one-more-kudo-for-bell-atlantic-247493.html,"To the Editor: Adding something to ""A Baby Bell Primed for the Big Fight"" (Feb. 21), Bell Atlantic is to be complimented in that it is the only Baby Bell that still supplies out-of-town (non-Bell Atlantic) telephone directories to public libraries in its service area without charge. This makes these unique sources available to the public free of charge. MARVIN H. SCILKEN Orange, N.J., Feb. 21 The author is director of the Orange Public Library.",0.0,0.5423,0.5423,"           Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0  COMPLIMENTED      0         0         1            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  ",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,-0.012658227848101266,0.012658227848101266
8,19,19,1993-03-22 01:00:00,Dividend Meetings,https://www.nytimes.com/1993/03/22/business/dividend-meetings-146593.html,Following is a partial list of dividend meetings this week: MONDAY Ameron Inc BellSouth Corp Standard Prods Co TUESDAY Bell Atlantic Corp Centerior Energy Corp Great Atl & Pac Tea WEDNESDAY Brooklyn Union Gas Clarco Inc Commercial Intertech Federal Mogul Corp THURSDAY Boston Edison Co Grow Group Inc Charles Schwab Corp Transatlantic Hldgs Inc Wyle Labs FRIDAY Cen Hudson Gas & Elec Knight-Ridder Inc Southwestern Bell Corp,0.0,0.7351,0.7351,"    Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  GREAT      0         0         1            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.014705882352941176
9,22,22,1993-04-04 01:00:00,"Right. Let's Make That 'Once Again, Kudos . . .'",https://www.nytimes.com/1993/04/04/business/l-right-let-s-make-that-once-again-kudos-086493.html,"To the Editor: Regarding ""One More Kudo for Bell Atlantic"" (Letters, March 21): Pray, what is a kudo ? Is it related to a patho ? Kudos please, collective noun, five letters. KAY KUHN Princeton, N.J., March 21",0.5106,0.8053,0.89,"    Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  MARCH      0         0         0            0          0             0   
1  MARCH      0         0         0            0          0             0   

   Superfluous  Interesting  
0            0            1  
1            0            1  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0
